,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
398,tt6209808,Phenomenon,,Drama,"Jul 5, 1996",32000000,104636382,152036382,120036382
403,tt0964517,The Fighter,116.0,"Biography,Drama,Sport","Dec 10, 2010",11000000,93617009,129262388,118262388
405,tt0989757,Dear John,108.0,"Drama,Romance,War","Feb 5, 2010",25000000,80014842,142033509,117033509
409,tt0840361,The Town,125.0,"Crime,Drama,Thriller","Sep 17, 2010",37000000,92186262,152566881,115566881
413,tt1596365,The Woman in Black,95.0,"Drama,Fantasy,Horror","Feb 3, 2012",15000000,54333290,128955898,113955898
414,tt2548096,The Queen,104.0,"Action,Drama,War","Sep 30, 2006",15000000,56441711,128885873,113885873
417,tt2140479,The Accountant,128.0,"Action,Crime,Drama","Oct 14, 2016",40000000,86260045,152962083,112962083
418,tt3564472,Girls Trip,122.0,"Comedy,Drama","Jul 21, 2017",28000000,115108515,140886353,112886353
421,tt6498340,End of Days,72.0,"Comedy,Documentary,Drama","Nov 24, 1999",100000000,66889043,212026975,112026975
423,tt1706593,Chronicle,84.0,"Drama,Sci-Fi,Thriller","Feb 3, 2012",12000000,64575175,123681790,111681790
430,tt1091191,Lone Survivor,121.0,"Action,Biography,Drama","Dec 25, 2013",40000000,125095601,149804632,109804632
432,tt2268016,Magic Mike XXL,115.0,"Comedy,Drama,Music","Jul 1, 2015",14500000,66013057,123660597,109160597
433,tt3863552,Bajrangi Bhaijaan,163.0,"Action,Comedy,Drama","Jul 17, 2015",13000000,8178001,121778347,108778347
435,tt0945513,Source Code,93.0,"Action,Drama,Sci-Fi","Apr 1, 2011",32000000,54712227,140428499,108428499
436,tt2980516,The Theory of Everything,123.0,"Biography,Drama,Romance","Nov 7, 2014",15000000,35893537,123327692,108327692
438,tt3152624,Trainwreck,125.0,"Comedy,Drama,Romance","Jul 17, 2015",35000000,110212700,141123897,106123897
440,tt4052882,The Shallows,86.0,"Drama,Horror,Thriller","Jun 24, 2016",13000000,55121623,118763442,105763442
442,tt1596363,The Big Short,130.0,"Biography,Comedy,Drama","Dec 11, 2015",28000000,70259870,133162752,105162752
443,tt4085696,Billy Elliot,169.0,"Comedy,Drama,Music","Oct 13, 2000",5000000,21995263,109253745,104253745
445,tt1179933,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery","Mar 11, 2016",5000000,72082999,108286422,103286422
446,tt1535438,Hope Springs,100.0,"Comedy,Drama,Romance","Aug 8, 2012",30000000,63536011,133085295,103085295
447,tt2381941,Focus,105.0,"Comedy,Crime,Drama","Feb 27, 2015",65000000,53862963,168065700,103065700
452,tt1007029,The Iron Lady,105.0,"Biography,Drama","Jan 13, 2012",14000000,29959436,115592104,101592104
459,tt4653310,Driving Miss Daisy,100.0,"Comedy,Drama","Dec 13, 1989",7500000,106593296,106593296,99093296
461,tt2516968,Step Up,55.0,"Biography,Documentary,Drama","Aug 11, 2006",12000000,65328121,110989157,98989157
463,tt1809398,Unbroken,137.0,"Biography,Drama,Sport","Dec 25, 2014",65000000,115637895,163527824,98527824
467,tt0359950,The Secret Life of Walter Mitty,114.0,"Adventure,Comedy,Drama","Dec 25, 2013",91000000,58236838,187861183,96861183
470,tt1605776,The Visit,90.0,"Comedy,Drama,Romance","Sep 11, 2015",5000000,65206105,98677816,93677816
482,tt3582040,Boomerang,101.0,"Drama,Romance","Jul 1, 1992",42000000,70052444,131052444,89052444
484,tt2177771,The Monuments Men,118.0,"Comedy,Drama,History","Feb 7, 2014",70000000,78031620,158702748,88702748
485,tt1667353,Mirror Mirror,106.0,"Adventure,Comedy,Drama","Mar 30, 2012",85000000,64935167,173613482,88613482
487,tt6864720,The Net,75.0,Drama,"Jul 28, 1995",22000000,50621733,110521733,88521733
492,tt2431286,Philomena,98.0,"Biography,Comedy,Drama","Nov 22, 2013",12000000,37709979,98963392,86963392
493,tt3313072,War Horse,,Drama,"Dec 25, 2011",70000000,79883359,156815529,86815529
497,tt2324384,The Notebook,112.0,"Drama,War","Jun 25, 2004",30000000,81001787,116025023,86025023
499,tt3460252,The Hateful Eight,168.0,"Crime,Drama,Mystery","Dec 25, 2015",62000000,54117416,147864886,85864886
501,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),119.0,"Comedy,Drama","Oct 17, 2014",18000000,42340598,103215094,85215094
504,tt1204975,Last Vegas,105.0,"Comedy,Drama","Jan 28, 2013",28000000,63914167,112914167,84914167
505,tt2334873,Blue Jasmine,98.0,Drama,"Jul 26, 2013",18000000,33404871,102912961,84912961
509,tt4897908,Calendar Girls,131.0,Drama,"Dec 19, 2003",10000000,31011616,93074616,83074616
511,tt1179056,A Nightmare on Elm Street,95.0,"Crime,Drama,Horror","Apr 30, 2010",35000000,63075011,117729621,82729621
512,tt6112220,The Butterfly Effect,85.0,"Comedy,Crime,Drama","Jan 23, 2004",13000000,57924679,95638592,82638592
513,tt1790885,Zero Dark Thirty,157.0,"Drama,Thriller","Dec 19, 2012",52500000,95720716,134612435,82112435
515,tt1987680,The Upside,126.0,"Comedy,Drama","Jan 11, 2019",37500000,108235497,119024536,81524536
516,tt3667264,Closer,87.0,Drama,"Dec 3, 2004",35000000,33987757,116177695,81177695
