,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
335,Much Ado About Nothing,167.0,"Comedy,Drama","May 7, 1993",8000000,22549338,22549338,14549338,PG-13,Joss Whedon,"Amy Acker, Alexis Denisof, Clark Gregg, Reed Diamond, Fran Kranz, Jillian Morgese, Nathan Fillion, Sean Maher, Spencer Treat Clark, Riki Lindhome, Tom Lenk, Ashley Johnson, Emma Bates, Joshua Zar, Nick Kocher, Brian McElhaney, Paul Meston, Romy Rosemont, Elsa Guillet-Chapuis"
336,Zambezia,83.0,"Adventure,Animation,Comedy","Dec 31, 2012",20000000,0,34454336,14454336,G,Wayne Thornley,"Abigail Breslin, Jeff Goldblum, Samuel L. Jackson, Richard E. Grant, Jenifer Lewis, Jeremy Suarez, Leonard Nimoy, Jamal Mixon"
337,Baggage Claim,96.0,Comedy,"Sep 27, 2013",8500000,21569509,22885836,14385836,PG-13,David E. Talbert,"Paula Patton, Derek Luke, Taye Diggs, Djimon Hounsou, Jill Scott, Boris Kodjoe, Adam Brody, Trey Songz, Tia Mowry-Hardrict, La La Anthony, Jenifer Lewis, Lauren London, Christina Milian, Rickey Smiley, Thomas Miles, Ned Beatty, Sandra Beatty, Terrence Jenkins, Affion Crockett, Lyn Sisson, Tara Batesole, Magda Harout, Jazmyn Simon, Gregory Vahanian, Tyler Lepley, Diondre Jones, Dillon Wayne, Tyler Garnett, Juliannah Richmond, Bill Lee Brown, Antonio Gómez Rufo, Madison"
338,Top Five,102.0,"Comedy,Romance","Dec 12, 2014",12000000,25317379,26001741,14001741,R,Chris Rock,"Chris Rock, Rosario Dawson, Gabrielle Union, Romany Malco, Leslie Jones, Kevin Hart, Whoopi Goldberg, Adam Sandler, Jerry Seinfeld, Tracy Morgan, Cedric the Entertainer, JB Smoove, Sherri Shepherd, Anders Holm, Michael Che, Jay Pharoah, Greta Lee, Hayley Marie Norman, Annaleigh Ashford, Genevieve Angelson, Ben Wood, Ben Vereen, Hassan Johnson, Nancy Castro, Karlie Redd, Claudette Lali, Jen Jacob, Laurissa Romain, Tom Papa, Matthew Wilkas, Ice Aysun Leidl, Olga Merediz, Rick Shapiro, Rachel Feinstein, Stacey Sargeant, Stefano Villabona, Griffin Newman, Vivian Chiu, Deborah Meister, Deborah Offner, Dean Edwards, Dominic Colón, Liam Ferguson, Dylan Caltabiano, Vivian Nixon, Amelia Fowler, Aaron Clifton Moten, Dolores Winn, Angela Lewis, Rachel Caccese, Phillip Boykin, Krista Tunnell, Teddy Coluca, Alberto Vasquez, Paugh Shadow, Lorna Pruce, Anthony Ferretti, Volieda Webb, Joseph Basile, Atif Lanier, Danny Bolero, Shani Marquise, Preston Sadleir, Daniel Goldsmith, Peter Iasillo Jr., Dan Hooks, Richard R. Corapi, Corey Brown, J. David Blatt, Alan Davis, Stephen Sapienza, Christian Frazier, Julie E. Davis, Andre Ward, Marco Palou, Teeka Duplessis, Aaron Salley, Pasha Sol, Gary M. LaSasso, Chelsea Meyer, William L. Bozarth, John Austin Wiggins, Derek Peith, Nelson Rivera, Elleen Hannah, Charlie Rose, Gabourey Sidibe, DMX, Jim Norton"
339,The Sitter,81.0,Comedy,"Dec 9, 2011",25000000,30542576,38749404,13749404,R,David Gordon Green,"Jonah Hill, Max Records, Ari Graynor, JB Smoove, Sam Rockwell, Landry Bender, Kevin Hernandez, Kylie Bunbury, Erin Daniels, D.W. Moffett, Jessica Hecht, Bruce Altman, Method Man, Sean Patrick Doyle, Alex Wolff, Jack Krizmanich, Grace Aronds, Jane Aronds, Lou Carbonneau, Alysia Joy Powell, Ernie Anastos, Dari Alexander Williams, Samira Wiley, Sammuel Soifer, Kevin Townley, Trevor Zhou, Wendy Hoopes, Ethan Davis, Reggie A. Green, Nick Sandow, Nicky Katt, Eddie Rouse, Henry Kwan, Michael G. Chin, Gracie Bea Lawrence, Jackie Hoffman, Peg Stegmeyer, Jonathan Forte, Mark Moynahan"
340,Kevin Hart: What Now?,96.0,"Comedy,Documentary","Oct 14, 2016",10000000,23591043,23591043,13591043,R,"Leslie Small, Tim Story","Kevin Hart, Halle Berry, Don Cheadle, Ed Helms, David Meunier, Joey Wells, Richardson Jones, Magali Amadei, Gabriel Tsai, Peter Mensah, Daniel Bernhardt, Dennis Keiffer, Ben Seaward, Ashley Dowling, Jeff Baumann (II), Sebastian Clay, Varo Kinsey, Will Horton, John Clausell"
341,The Lobster,119.0,"Comedy,Drama,Romance","Mar 25, 2016",4500000,9196278,18019834,13519834,R,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Léa Seydoux, Ben Whishaw, John C. Reilly, Olivia Colman, Jessica Barden, Angeliki Papoulia, Ashley Jensen, Roger Ashton-Griffiths, Michael Smiley, Ariane Labed, Rosanna Hoult, Ewen Macintosh, Anthony Dougall, Jacqueline Abrahams, Sean Duggan, James Finnegan, Roland Ferrandi, Robert Heaney, Patrick Malone, Kevin McCormack, Kathy Kelly, Garry Mountaine, Judi King Murphy, Laoise Murphy, Imelda Nagle Ryan, Nancy Onu, Ishmael Moalosi, Anthony Moriarty, Matthew O'Brien, Emma O'Shea, Sandra Mason"
342,Carnage,68.0,Comedy,"Dec 16, 2011",25000000,2546747,38112154,13112154,R,Roman Polanski,"Kate Winslet, Jodie Foster, Christoph Waltz, John C. Reilly, Elvis Polanski, Eliot Berger, Joseph Rezwin, Nathan Rippy, Tanya Lopert, Julie Adams"
343,30 Minutes or Less,83.0,"Action,Comedy,Crime","Aug 12, 2011",28000000,37053924,40966716,12966716,R,Ruben Fleischer,"Jesse Eisenberg, Danny McBride (IV), Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward"
344,You Again,105.0,"Comedy,Family,Romance","Sep 24, 2010",20000000,25702053,32838945,12838945,PG,Andy Fickman,"Kristen Bell, Jamie Lee Curtis, Sigourney Weaver, Odette Annable, Victor Garber, Betty White, James Wolk, Kristin Chenoweth, Sean Wing, Kyle Bornheimer, Billy Unger, Christine Lakin, Meagan Holder, Patrick Duffy, Anna White, Brytni Sarpy, Gelsey Mahanes, Tammy To, Mimi Karsh, Amye Wilmes, Reginald VelJohnson, Henry G. Sanders, Shanola Hampton, Jenna Leigh Green, Christopher Khai, Ashley Fink, Paul Nygro, Daryl Hall, John Oates, T-Bone Wolk, T-Bone Wolk, Mike Braun, Mike Braun, Charlie Dechant, Zev Katz, Eliot Lewis, Zev Katz, Lisa Valenzuela, Eliot Lewis, L.J. Benet, Amy Reiss, Chambers Stevens, Coby McLaughlin, Coby Ryan McLaughlin, Brittany Wilkinson, Anne Winfree, Catherine Bach, Stacy Keanan, Elwin 'Chopper' David"
